time,seanopry,looksmaxxing,mewing,chicolachowski,mogger,pslgod,average
2021-01-31,0.01,0.0,0.04,0.0,0.0,0.0,0.008333333333333333
2021-02-28,0.02,0.0,0.02,0.0,0.0,0.0,0.006666666666666667
2021-03-31,0.01,0.0,0.03,0.0,0.0,0.0,0.006666666666666667
2021-04-30,0.02,0.0,0.03,0.0,0.0,0.0,0.008333333333333333
2021-05-31,0.02,0.0,0.02,0.0,0.0,0.0,0.006666666666666667
2021-06-30,0.01,0.0,0.02,0.0,0.0,0.0,0.005
2021-07-31,0.02,0.0,0.02,0.0,0.0,0.0,0.006666666666666667
2021-08-31,0.02,0.0,0.01,0.0,0.0,0.0,0.005
2021-09-30,0.01,0.0,0.02,0.0,0.0,0.0,0.005
2021-10-31,0.01,0.0,0.02,0.0,0.0,0.0,0.005
2021-11-30,0.01,0.0,0.03,0.0,0.0,0.0,0.006666666666666667
2021-12-31,0.01,0.0,0.02,0.0,0.0,0.0,0.005
2022-01-31,0.03,0.0,0.03,0.0,0.0,0.0,0.01
2022-02-28,0.03,0.0,0.04,0.0,0.0,0.0,0.011666666666666667
2022-03-31,0.02,0.0,0.03,0.0,0.0,0.0,0.008333333333333333
2022-04-30,0.04,0.01,0.03,0.0,0.0,0.0,0.013333333333333334
2022-05-31,0.02,0.01,0.04,0.0,0.0,0.0,0.011666666666666667
2022-06-30,0.03,0.0,0.05,0.0,0.0,0.0,0.013333333333333334
2022-07-31,0.03,0.01,0.05,0.0,0.0,0.0,0.015
2022-08-31,0.03,0.01,0.08,0.0,0.0,0.0,0.02
2022-09-30,0.05,0.0,0.05,0.0,0.0,0.0,0.016666666666666666
2022-10-31,0.03,0.0,0.09,0.0,0.0,0.0,0.02
2022-11-30,0.04,0.01,0.08,0.0,0.0,0.0,0.021666666666666667
2022-12-31,0.03,0.01,0.06,0.01,0.0,0.0,0.018333333333333333
2023-01-31,0.03,0.02,0.09,0.01,0.0,0.0,0.025000000000000005
2023-02-28,0.1,0.03,0.1,0.0,0.0,0.01,0.04
2023-03-31,0.05,0.03,0.07,0.01,0.0,0.01,0.02833333333333334
2023-04-30,0.08,0.07,0.09,0.01,0.01,0.04,0.049999999999999996
2023-05-31,0.06,0.07,0.08,0.01,0.01,0.05,0.04666666666666667
2023-06-30,0.16,0.07,0.07,0.04,0.02,0.16,0.08666666666666667
2023-07-31,0.52,0.27,0.17,0.13,0.05,0.59,0.28833333333333333
2023-08-31,0.84,0.54,0.44,0.33,0.14,0.81,0.5166666666666667
2023-09-30,0.84,0.62,0.55,0.41,0.35,0.7,0.5783333333333333
2023-10-31,1.0,1.0,0.75,1.0,0.81,1.0,0.9266666666666667
2023-11-30,0.89,0.83,1.0,1.0,1.0,0.83,0.9249999999999999
2023-12-31,0.51,0.46,0.49,0.61,0.57,0.5,0.5233333333333333
